
Checking address: 0xdfc24b077bc1425ad1dea75bcb6f8158e10df303
  Found 0 positions.

Checking address: 0x010461c14e146ac35fe42271bdc1134ee31c703a
  Found 189 positions.
    - Coin: HBAR, Size: 1430371.0, Entry: 0.091172, PnL: 3038.27859
    - Coin: POPCAT, Size: 221893.0, Entry: 0.056396, PnL: 23.015393
    - Coin: EIGEN, Size: -479305.15, Entry: 0.257, PnL: -981.459983
    - Coin: REZ, Size: -1339820.0, Entry: 0.003744, PnL: -37.409246
    - Coin: NOT, Size: -59491892.0, Entry: 0.000491, PnL: 2597.914337
    - Coin: TURBO, Size: 1015687.0, Entry: 0.001247, PnL: 4.198202
    - Coin: BRETT, Size: -2843183.0, Entry: 0.009762, PnL: 107.523099
    - Coin: IO, Size: 335968.9, Entry: 0.12292, PnL: 394.797206
    - Coin: ZK, Size: 2211564.0, Entry: 0.02562, PnL: 646.053801
    - Coin: BLAST, Size: 140640453.0, Entry: 0.000694, PnL: -11753.043414
    - Coin: MEW, Size: 11170065.0, Entry: 0.000709, PnL: 103.303998
    - Coin: RENDER, Size: 49154.1, Entry: 1.58368, PnL: 752.82375
    - Coin: POL, Size: -463575.0, Entry: 0.106054, PnL: -2496.430624
    - Coin: CELO, Size: 96085.0, Entry: 0.095162, PnL: 2.630249
    - Coin: HMSTR, Size: -105310065.0, Entry: 0.000211, PnL: 2094.740942
    - Coin: SCR, Size: 276916.0, Entry: 0.06271, PnL: 30.163933
    - Coin: kNEIRO, Size: -1370009.8, Entry: 0.09868, PnL: 14818.726074
    - Coin: GOAT, Size: -967136.0, Entry: 0.026098, PnL: -94.057751
    - Coin: MOODENG, Size: 540752.0, Entry: 0.054454, PnL: 390.919104
    - Coin: GRASS, Size: -391618.2, Entry: 0.22103, PnL: 1904.719028
    - Coin: PURR, Size: -227310.0, Entry: 0.070619, PnL: -1014.48963
    - Coin: PNUT, Size: 670941.5, Entry: 0.05698, PnL: 384.051236
    - Coin: XLM, Size: 144644.0, Entry: 0.182094, PnL: -113.533554
    - Coin: CHILLGUY, Size: -3485757.0, Entry: 0.012998, PnL: 2806.983246
    - Coin: SAND, Size: -28816.0, Entry: 0.102894, PnL: 12.812816
    - Coin: IOTA, Size: -292625.0, Entry: 0.0764, PnL: 557.725956
    - Coin: ALGO, Size: 76720.0, Entry: 0.103662, PnL: 224.632009
    - Coin: HYPE, Size: -6824.73, Entry: 32.2093, PnL: -5020.434913
    - Coin: ME, Size: 185553.3, Entry: 0.16535, PnL: -862.334771
    - Coin: MOVE, Size: 598221.0, Entry: 0.027433, PnL: -26.637409
    - Coin: VIRTUAL, Size: 90143.2, Entry: 0.64081, PnL: 690.67526
    - Coin: PENGU, Size: -4432811.0, Entry: 0.007646, PnL: -960.195456
    - Coin: USUAL, Size: 985782.7, Entry: 0.01929, PnL: -375.232507
    - Coin: FARTCOIN, Size: 334929.4, Entry: 0.22539, PnL: 349.819354
    - Coin: AIXBT, Size: -3511232.0, Entry: 0.025174, PnL: 2808.61681
    - Coin: ZEREBRO, Size: -881904.0, Entry: 0.009247, PnL: -45.818124
    - Coin: BIO, Size: 1052393.0, Entry: 0.033959, PnL: -1416.704561
    - Coin: GRIFFAIN, Size: -1431489.0, Entry: 0.011086, PnL: -29.049524
    - Coin: SPX, Size: 46649.6, Entry: 0.31709, PnL: -122.51765
    - Coin: S, Size: -1061668.0, Entry: 0.051974, PnL: -1479.148776
    - Coin: MORPHO, Size: 212299.9, Entry: 1.16438, PnL: 12996.334279
    - Coin: TRUMP, Size: -45375.0, Entry: 4.25292, PnL: 840.366165
    - Coin: MELANIA, Size: 20334.5, Entry: 0.12755, PnL: 7.988805
    - Coin: ANIME, Size: 11864516.0, Entry: 0.006003, PnL: 985.162885
    - Coin: VINE, Size: 1457155.0, Entry: 0.023953, PnL: -3898.414323
    - Coin: VVV, Size: -30767.67, Entry: 2.189, PnL: -366.411225
    - Coin: BERA, Size: 77961.3, Entry: 0.46913, PnL: -237.42647
    - Coin: TST, Size: 366622.0, Entry: 0.011446, PnL: 122.84673
    - Coin: LAYER, Size: 147561.0, Entry: 0.103286, PnL: -57.021564
